bin_low [GeV],bin_high [GeV],nue_flux / 50 MeV / cm2 / 2.4e20 POT
13.75,13.8,0
13.8,13.85,0
13.85,13.9,0
13.9,13.95,0
13.95,14,0
14,14.05,0
14.05,14.1,0
14.1,14.15,0
14.15,14.2,0
14.2,14.25,0
14.25,14.3,0
14.3,14.35,0
14.35,14.4,0
14.4,14.45,0
14.45,14.5,0
14.5,14.55,0
14.55,14.6,0
14.6,14.65,0
14.65,14.7,0
14.7,14.75,0
14.75,14.8,0
14.8,14.85,0
14.85,14.9,0
14.9,14.95,0
14.95,15,0
15,15.05,0
15.05,15.1,0
15.1,15.15,0
15.15,15.2,0
15.2,15.25,0
15.25,15.3,0
15.3,15.35,0
15.35,15.4,0
15.4,15.45,0
15.45,15.5,0
15.5,15.55,0
15.55,15.6,0
15.6,15.65,0
15.65,15.7,0
15.7,15.75,0
15.75,15.8,0
15.8,15.85,0
15.85,15.9,0
15.9,15.95,0
15.95,16,0
16,16.05,0
16.05,16.1,0
16.1,16.15,0
16.15,16.2,0
16.2,16.25,0
16.25,16.3,0
16.3,16.35,0
16.35,16.4,0
16.4,16.45,0
16.45,16.5,0
16.5,16.55,0
16.55,16.6,0
16.6,16.65,0
16.65,16.7,0
16.7,16.75,0
16.75,16.8,0
16.8,16.85,0
16.85,16.9,0
16.9,16.95,0
16.95,17,0
17,17.05,0
17.05,17.1,0
17.1,17.15,0
17.15,17.2,0
17.2,17.25,0
17.25,17.3,0
17.3,17.35,0
17.35,17.4,0
17.4,17.45,0
17.45,17.5,0
17.5,17.55,0
17.55,17.6,0
17.6,17.65,0
17.65,17.7,0
17.7,17.75,0
17.75,17.8,0
17.8,17.85,0
17.85,17.9,0
17.9,17.95,0
17.95,18,0
18,18.05,0
18.05,18.1,0
18.1,18.15,0
18.15,18.2,0
18.2,18.25,0
18.25,18.3,0
18.3,18.35,0
18.35,18.4,0
18.4,18.45,0
18.45,18.5,0
18.5,18.55,0
18.55,18.6,0
18.6,18.65,0
18.65,18.7,0
18.7,18.75,0
18.75,18.8,0
18.8,18.85,0
18.85,18.9,0
18.9,18.95,0
18.95,19,0
19,19.05,0
19.05,19.1,0
19.1,19.15,0
19.15,19.2,0
19.2,19.25,0
19.25,19.3,0
19.3,19.35,0
19.35,19.4,0
19.4,19.45,0
19.45,19.5,0
19.5,19.55,0
19.55,19.6,0
19.6,19.65,0
19.65,19.7,0
19.7,19.75,0
19.75,19.8,0
19.8,19.85,0
19.85,19.9,0
19.9,19.95,0
19.95,20,0
